code,term
237249000,Complete hydatidiform mole
237250000,Incomplete hydatidiform mole
416669000,Invasive hydatidiform mole
417044008,"Hydatidiform mole, benign"
445149007,Residual trophoblastic disease
44782008,Molar pregnancy
44979007,Carneous mole
