code,term
238455005,Seal finger
2385003,Cellulitis of pectoral region
238931006,Eosinophilic cellulitis
239162003,Wound cellulitis
240425002,Facial erysipelas
240584003,Gonococcal cellulitis
240780005,Mucormycotic gangrenous cellulitis
24232008,Cellulitis with lymphangitis of digit
24288004,Cellulitis of ankle
267774008,Cellulitis and abscess of toe NOS
267775009,Cellulitis and abscess of digit NOS
267776005,Other cellulitis and abscess
267777001,Cellulitis and abscess of cheek (external)
267778006,Cellulitis and abscess of nose (external)
267779003,Cellulitis and abscess of neck
267780000,Cellulitis and abscess of hand excluding digits
267781001,Cellulitis and abscess of hand unspecified
267782008,Cellulitis and abscess of leg
267783003,Cellulitis and abscess of foot excluding toe
267784009,Cellulitis and abscess of head unspecified
267789004,[X]Cellulitis of finger and toe
267829005,(Cellulitis &/or abscess finger/toe) or (felon - whitlow)
267830000,(Cellulitis - finger-paronychia) or (paronychia)
267831001,(Cellulitis/abscess: [NOS] or [other]) or (abscess NOS)
267832008,(Cellulitis/abscess - face) or (cellulitis - lips)
267833003,Cellulitis -hand (& -excl. finger)
267834009,Cellulitis (&/or abscess): [buttock] or [perirectal]
267835005,Cellulitis - foot (& - excl. toe)
270541009,Toe: [cellulitis] or [paronychia]
27561001,Cellulitis of finger
27767004,Cellulitis of forehead
278037002,Streptococcal cellulitis
284480000,Cellulitis of arm
286999002,Cellulitis of toe
287000004,Cellulitis of hand excluding finger
287001000,"Cellulitis of leg, excluding foot"
287002007,Cellulitis of foot excluding toe
288211000,Cellulitis - digit NOS
299707000,Periorbital cellulitis
301710008,Cellulitis of elbow
30584002,"Cellulitis of back, except buttock"
307424002,Cellulitis - anus or rectum
309254003,Cellulitis of skin of back
314516007,Preseptal cellulitis
333141000119106,Phlegmonous dacryocystitis of right eye
333501000119103,Cellulitis of right orbit
338171000000104,Cellulitis of toe
338751000119100,Phlegmonous dacryocystitis of left eye
339111000119109,Cellulitis of left orbit
344521000119109,Phlegmonous dacryocystitis of bilateral eyes
367118008,Cellulitis of arm
37098000,Cellulitis of external nose
37223007,Cellulitis of neck
38217004,Cellulitis of upper arm
38541002,Phlegmonous stomatitis AND cellulitis
385627004,Cellulitis
389391000000103,[X]Cellulitis of other sites
393598005,Cellulitis of leg
402925001,Erysipelas of lower limb
402927009,Gram-negative bacterial cellulitis
402928004,Haemophilus cellulitis
402929007,Bacterial cellulitis
402934006,Streptococcal cellulitis of external ear
41071000087108,Cellulitis of left little toe
41081000087105,Cellulitis of right little toe
41091000087107,Cellulitis of left fourth toe
41101000087102,Cellulitis of right fourth toe
41111000087100,Cellulitis of left great toe
41121000087108,Cellulitis of right great toe
41131000087105,Cellulitis of left second toe
41141000087104,Cellulitis of right second toe
41151000087101,Cellulitis of left third toe
41161000087103,Cellulitis of right third toe
41631000087102,Cellulitis of left index finger
41641000087108,Cellulitis of left little finger
41651000087106,Cellulitis of left lower limb from knee to ankle
41700004,Cellulitis of submandibular region
41731000087109,Cellulitis of left middle finger
41741000087103,Cellulitis of left ring finger
41751000087100,Cellulitis of right index finger
41761000087102,Cellulitis of right little finger
41771000087106,Cellulitis of right lower limb from knee to ankle
41781000087108,Cellulitis of right middle finger
41791000087105,Cellulitis of right ring finger
41801000087109,Cellulitis of left upper arm
41811000087106,Cellulitis of right upper arm
41821000087103,Cellulitis of left pinna
41831000087101,Cellulitis of right pinna
41841000087107,Cellulitis of left buttock
41851000087105,Cellulitis of right buttock
42001000087106,Cellulitis of all toes of left foot
42011000087108,Cellulitis of all toes of right foot
443761000000106,(Cellulitis: [of thumb] or [[X] of finger and toe]) or (nail bed infection) or (septic thumb)
44428005,Cellulitis of buttock
44653001,Erysipelas
449671007,Cellulitis of upper limb
449702005,Cellulitis and abscess of lower limb
449710006,Cellulitis of lower limb
449711005,Cellulitis of lower leg
449717009,Cellulitis and abscess of upper limb
449825003,Cellulitis of thumb
451451000000104,[X]Cellulitis of finger and toe
461991000000108,[X]Cellulitis of other parts limb
46876003,Cellulitis of trunk
477591000000101,[X]Cellulitis of breast
48420008,Cellulitis of face
49810002,Cellulitis of shoulder
52190008,Cellulitis of scalp
56351000,Cellulitis of heel
56644003,Cellulitis of umbilicus
56690006,"Cellulitis of foot, except toe"
584491000000109,Cellulitis and abscess of finger unspecified
584501000000103,Cellulitis and abscess of finger NOS
584521000000107,Cellulitis and abscess of toe unspecified
584531000000109,Cellulitis and abscess of face NOS
584541000000100,Cellulitis and abscess of trunk NOS
584551000000102,Cellulitis and abscess of arm NOS
58945008,Cellulitis of chin
59101000087100,Cellulitis of left heel
59111000087103,Cellulitis of right heel
59141000087102,Cellulitis of calf of left lower leg
59151000087104,Cellulitis of calf of right lower leg
59532009,Cellulitis of chest wall
59883002,Cellulitis of abdominal wall
60540006,Cellulitis of external cheek
6281007,"Cellulitis of head, except face"
62837005,Cellulitis of hand
643171000000101,Cellulitis and abscess of toe NOS
64324003,Phlegmonous dacryocystitis
666551000000101,Cellulitis and abscess of digit NOS
666561000000103,Other cellulitis and abscess
666571000000105,Cellulitis and abscess of hand unspecified
666581000000107,Cellulitis and abscess of head unspecified
66918004,Cellulitis of flank
677401000000107,Cellulitis and abscess of leg NOS
677411000000109,Cellulitis and abscess of foot unspecified
677421000000103,Cellulitis and abscess of foot NOS
677441000000105,Cellulitis NOS
686701000000107,Cellulitis and abscess of hand NOS
686711000000109,Other specified cellulitis and abscess
686721000000103,Cellulitis and abscess NOS
703721000000102,Cellulitis - digit NOS
70637004,Cellulitis of toe
71392009,Cellulitis of wrist
717857009,Acute cellulitis
74276003,Cellulitis
75817003,Cellulitis of breast
762284008,Cellulitis caused by Staphylococcus aureus
77054009,Cellulitis of thigh
77333008,Perifolliculitis capitis abscedens et suffodiens
78450007,"Cellulitis of leg, except foot"
805511000000100,Cellulitis of thumb
838283002,Cellulitis and abscess of hand
84681008,Rectal cellulitis
88361008,Cellulitis of groin
92351000087104,Cellulitis of left clavicular region
92361000087101,Cellulitis of right clavicular region
92741000087103,Cellulitis of skin of anterior surface of left knee
92751000087100,Cellulitis of skin of anterior surface of right knee
9557000,Cellulitis of hip
95806007,Cellulitis of external ear
984000,Perirectal cellulitis
987007,Cellulitis of temple region
